Time,Operator,Flight #,Route,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Date_parsed,Modele,Version,Ville,Pays,Aboard_filled,Fatalities_filled
,US Aerial Mail Service,,,97,,1.0,1.0,0.0,,1918-12-16,havilland,dh-4,elizabeth,new jersey,1.0,1.0
,US Aerial Mail Service,,,61,,1.0,1.0,0.0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,1919-05-25,havilland,dh-4,cleveland,ohio,1.0,1.0
,US Aerial Mail Service,,,82,,1.0,1.0,0.0,,1919-07-19,havilland,dh-4,dix run,pennsylvania,1.0,1.0
,Aircraft Transport and Travel,,,,,1.0,1.0,0.0,,1919-10-02,havilland,dh-4,newcastle,england,1.0,1.0
,US Aerial Mail Service,,,32,,1.0,1.0,0.0,,1919-10-14,curtiss,r-4lm,cantonsville,maryland,1.0,1.0
,US Aerial Mail Service,,,77,,1.0,1.0,0.0,,1919-10-30,havilland,dh.4,long valley,new jersey,1.0,1.0
,US Aerial Mail Service,,,65,,1.0,1.0,0.0,,1920-03-10,havilland,dh-4,new paris,indiana,1.0,1.0
,US Aerial Mail Service,,,72,,1.0,1.0,0.0,,1920-03-30,havilland,dh-4,newark,new jersey,1.0,1.0
,US Aerial Mail Service,,,49,,2.0,1.0,0.0,,1920-04-10,curtiss,r-4lm,newark,new jersey,2.0,1.0
,US Aerial Mail Service,,,44,,2.0,1.0,0.0,,1920-04-11,curtiss,jn-4h,heller field,new jersey,2.0,1.0
,US Aerial Mail Service,,,79,,2.0,1.0,0.0,,1920-05-12,havilland,dh-4,oskaloosa,iowa,2.0,1.0
,US Aerial Mail Service,,,204,,1.0,1.0,0.0,,1920-06-06,havilland,dh-4,cleveland,ohio,1.0,1.0
,By Air,,,G-EALW,,1.0,1.0,0.0,,1920-08-16,armstrong-whitworth,f-k-8,bedford,england,1.0,1.0
,US Aerial Mail Service,,,317,,1.0,1.0,0.0,,1920-08-16,havilland,dh-4,college park,maryland,1.0,1.0
,US Aerial Mail Service,,,305,,2.0,2.0,0.0,,1920-09-01,junkers,jl-6,morristown,new jersey,2.0,2.0
,US Aerial Mail Service,,,308,,2.0,2.0,0.0,,1920-09-15,junkers,f-13,pemberville,ohio,2.0,2.0
,US Aerial Mail Service,,,316,,1.0,1.0,0.0,,1920-09-27,havilland,dh-4,hillersburg,pennsylvania,1.0,1.0
,Latecoere Airlines,,,F-ALAI,31,2.0,2.0,0.0,,1920-10-02,salmson,2-a-2,off port vendres,france,2.0,2.0
,Latecoere Airlines,,,F-ALTA,20,2.0,2.0,0.0,Crashed while landing.,1920-10-05,breguet,14,valencia,spain,2.0,2.0
,US Aerial Mail Service,,,76,,1.0,1.0,0.0,,1920-10-15,havilland,dh-4,batavia,illinois,1.0,1.0
,US Aerial Mail Service,,,,178,1.0,1.0,0.0,,1920-11-07,havilland,dh-4,tie siding,wyoming,1.0,1.0
,Handley Page Transport,,,G-EAMA,HP-25,8.0,4.0,0.0,Crashed into a tree on take off in fog.,1920-12-14,handley,page hp-16,cricklewood,england,8.0,4.0
,Aeropostale,,,F-ALBO,,1.0,1.0,0.0,,1920-12-24,breguet,14,barcelona,spain,1.0,1.0
,US Aerial Mail Service,,,130,,1.0,1.0,0.0,,1921-02-03,havilland,dh-4,mendotta,minnisota,1.0,1.0
,US Aerial Mail Service,,,301,,3.0,3.0,0.0,,1921-02-09,junkers,f-13,la crosse,wisconsin,3.0,3.0
,Aeropostale,,,F-ALBA,,2.0,2.0,0.0,,1921-02-15,breguet,14,off gibraltar,,2.0,2.0
,US Aerial Mail Service,,,67,,1.0,1.0,0.0,,1921-02-22,havilland,dh-4,elko,nevada,1.0,1.0
,US Aerial Mail Service,,,160,,1.0,1.0,0.0,,1921-04-21,havilland,dh-4,mitchel field,ny,1.0,1.0
,US Aerial Mail Service,,,196,,1.0,1.0,0.0,,1921-04-29,havilland,dh-4,cleveland,ohio,1.0,1.0
,US Aerial Mail Service,,,222,,1.0,1.0,0.0,,1921-07-16,havilland,dh-4,san francisco,california,1.0,1.0
,Aeropostale,,,F-ALBI,,2.0,2.0,0.0,,1921-08-14,breguet,14,toulouse,france,2.0,2.0
17:40,Military - Royal Airship Works,,,R-38,R-38,46.0,46.0,1.0,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.,1921-08-24,royal,airship works zr-2 (airship),river humber,england,46.0,46.0
,Franco-Roumaine,,Varsovie - Strasbourg - Paris,F-ADCD,160,5.0,5.0,0.0,Crashed while making an approach to Le Bourget Airport in Paris.,1921-09-06,potez,ix,paris,france,5.0,5.0
,West Australian Airways,,,G-AUDI,6116,3.0,3.0,0.0,,1921-12-05,bristol,28 tourer,near murchinson river,australia,3.0,3.0
,Handley Page Transport,,,G-EATN,HP-43,5.0,5.0,5.0,Crashed at Le Bourget field.,1922-01-14,handley,page o/10,paris,france,5.0,5.0
,Military - U.S. Army Air Service,,,,,45.0,34.0,0.0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,1922-02-21,dirigible,roma (airship),near norfolk,virginia,45.0,34.0
,Daimler Airways / Grands Express Aeriens,,,G-EAOW/FGEAD,4,7.0,7.0,0.0,"A midair collision occurred in poor visibility approximately 18 miles north of Beauvais, France. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.",1922-04-07,havilland,dh-18 / farman f-60 goliath,grandvilliers,france,7.0,7.0
,Vickers,,,G-EBBZ,,3.0,3.0,0.0,,1922-04-13,vickers,viking,brooklands,england,3.0,3.0
,US Aerial Mail Service,,,385,,1.0,1.0,0.0,,1925-10-01,havilland,dh-4,nittany mt,ohio,1.0,1.0
,Cie des Messageries Aeriennes,,,F-CMAY,1254,3.0,3.0,0.0,,1922-06-03,bleriot,spad 27,off folkestone,england,3.0,3.0
,Grands Express Aeriens,,,,,3.0,3.0,0.0,,1922-07-26,breguet,14,cadix,spain,3.0,3.0
,US Aerial Mail Service,,,227,,1.0,1.0,0.0,,1922-09-07,havilland,dh-4,indianapolis,indiana,1.0,1.0
,,,,G-EAYT,,4.0,4.0,0.0,,1922-10-02,havilland,dh-9,venice,italy,4.0,4.0
,Grands Express Aeriens,,,,,2.0,2.0,0.0,,1922-10-25,breguet,14,larache,morocco,2.0,2.0
,Grands Express Aeriens,,,,,1.0,1.0,0.0,,1922-12-03,breguet,14,fez,morocco,1.0,1.0
,Amee de l'Air,,,F-AEIB,,4.0,3.0,0.0,,1923-01-10,lioré-et-olivier,h-13,ajaccio,france,4.0,3.0
,Grands Express Aeriens,,,F-ALJU,,1.0,1.0,0.0,,1923-01-17,breguet,14,barcelona,spain,1.0,1.0
,US Aerial Mail Service,,,223,,1.0,1.0,0.0,,1923-01-18,havilland,dh-4,cheyenne,wyoming,1.0,1.0
,US Aerial Mail Service,,,291,,1.0,1.0,0.0,,1923-02-26,havilland,dh-4,meadville,pennsylvania,1.0,1.0
,Grands Express Aeriens,,,F-AEBY,,6.0,6.0,0.0,,1923-05-14,farman,f-60 goliath,monsures,france,6.0,6.0
,Campagnie France Roumaine,,,F-AEGN,,2.0,2.0,0.0,,1923-08-27,blériot,spad 46,bucharest,romania,2.0,2.0
,US Aerial Mail Service,,,283,,1.0,1.0,0.0,,1923-09-07,havilland,dh-4,colton,ohio,1.0,1.0
,Daimler Airways,,,G-EBBS,29,6.0,6.0,0.0,,1923-09-14,havilland,dh-34,berks,england,6.0,6.0
,CCCP,,,D-257,,4.0,2.0,0.0,,1923-11-18,junkers,f-13,russia,,4.0,2.0
,US Aerial Mail Service,,,318,,1.0,1.0,0.0,,1923-12-06,havilland,dh-4,castalia,ohio,1.0,1.0
02:30,Military - French Navy,,Toulon - Algiers,L-72,,52.0,52.0,0.0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.",1923-12-23,zeppelin,dixmun(airship),over the mediterranean sea,,52.0,52.0
,US Aerial Mail Service,,,315,,1.0,1.0,0.0,,1923-12-24,havilland,dh-4,egbert,wy,1.0,1.0
,US Aerial Mail Service,,,327,,1.0,1.0,0.0,,1924-03-07,havilland,dh-4,grampian,pennsylvania,1.0,1.0
,KLM Royal Dutch Airlines,,"Lympne, England - Rotterdam, The Netherlands",H-NABS,1535,3.0,3.0,0.0,,1924-04-24,fokker,f.iii,over the english channel,,3.0,3.0
,SCADTA,,,A16,,3.0,3.0,0.0,,1924-06-08,junkers,f-13,barranquilla,colombia,3.0,3.0
,US Aerial Mail Service,,,297,,1.0,1.0,0.0,,1924-08-01,havilland,dh-4,united states,,1.0,1.0
,US Aerial Mail Service,,,311,,1.0,1.0,0.0,,1924-12-21,havilland,dh-4,goshen,indiana,1.0,1.0
,Imperial Airways,,,G-EBBX,36,8.0,8.0,0.0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Fuel starvation. Captain Stewart and seven passengers were killed in an attempted forced landing.",1924-12-24,havilland,dh-34b,purley,england,8.0,8.0
,Zakavia,,,R-RECA,590,5.0,5.0,0.0,,1925-03-22,junkers,f-13,near tiflies,ussr,5.0,5.0
,Grands Express Aeriens,,,,,4.0,4.0,0.0,,1925-04-25,breguet,14,alicante,spain,4.0,4.0
,Lignes Aeriennes Latecoere,,,F-AFBB,,2.0,2.0,0.0,,1925-05-25,breguet,14,alicante,spain,2.0,2.0
,KLM Royal Dutch Airlines,,,H-NABM,KLM-2,4.0,4.0,0.0,Crashed in poor weather.,1925-06-25,fokker,(klm)  f.iii,landrécies,france,4.0,4.0
,Grands Express Aeriens,,,F-AHBH,,2.0,2.0,0.0,,1925-06-26,lioré-et-olivier,h-13,alicante,spain,2.0,2.0
,Lignes Aeriennes Latecoere,,,F-AFBI,,1.0,1.0,0.0,,1925-07-20,breguet,14,rosas,spain,1.0,1.0
,CIDNA,,,,,1.0,1.0,0.0,,1925-07-24,potez,ix,budapest,hungary,1.0,1.0
05:30,Military - U.S. Navy,,"Lakehurst, NJ - S.t Louis, MO",ZR-1,,43.0,14.0,0.0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmosphericonditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon.",1925-09-03,dirigible,zr-1 shenandoah (airship),caldwell,ohio,43.0,14.0
,Air Union,,,F-AMFY,,2.0,2.0,0.0,,1925-11-14,farman,f-60 goliath,off boulogne-sur-mer,france,2.0,2.0
,US Aerial Mail Service,,,,,1.0,1.0,0.0,,1926-02-12,curtiss,carrier pigeon,montpelier,ohio,1.0,1.0
,Deutche Lufthansa,,,,,1.0,1.0,0.0,,1926-03-08,junkers,f-13,staaken,germany,1.0,1.0
,Air Union,,,F-ADAI,,1.0,1.0,0.0,,1926-05-31,breguet,14,english channel,,1.0,1.0
,Compagnie Internationale de Navigation Aérienne,,Paris - Prague,F-AFBT,5307,7.0,7.0,0.0,Crashed while en route.,1926-07-03,caudron,c-61,rossaugpt,czechoslovakia,7.0,7.0
,KLM Royal Dutch Airlines,,,H-NACC,4759,2.0,2.0,0.0,,1926-07-09,fokker,f-4,wolvertem,belgium,2.0,2.0
,Deutsche Lufthansa,,,D-272,660,4.0,4.0,0.0,Weather related.,1926-07-24,junkers,f-13,juist,germany,4.0,4.0
,Air Union,,,F-AIEB,2,4.0,4.0,0.0,Crashed in adverse weather conditions.  Engine failure.,1926-08-18,bleriot,155,hurst,england,4.0,4.0
,,,New York - Paris,,,5.0,2.0,0.0,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantipassenger flight.,1926-09-26,sikorsky,s-25,new york,new york,5.0,2.0
,Deutsche Lufthansa,,,D-468,1554,4.0,4.0,0.0,Weather related.,1926-10-08,fokker,fg iii,bueren,germany,4.0,4.0
13:15,Imperial Airways,,,G-EBMS,W10/3,12.0,0.0,0.0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry.",1926-10-21,handley,page w-10,english channel,,12.0,0.0
,Grands Express Aeriens,,,,,3.0,3.0,0.0,,1926-11-11,breguet,14,cape bojador,morocco,3.0,3.0
,PacifiAir Transport,,,2,,1.0,1.0,0.0,,1926-12-16,ryan,m-1,medford,oregon,1.0,1.0
,KLM Royal Dutch Airlines,,,H-NADH,,2.0,2.0,0.0,,1927-01-12,fokker,f-vii,lille,france,2.0,2.0
,Grands Express Aeriens,,,F-ALRA,,1.0,1.0,0.0,,1927-03-20,breguet,14,rabat,morocco,1.0,1.0
,Qantas,,,G-AUED,86,3.0,3.0,0.0,Stalled at low altitiude on approach to land,1927-03-24,havilland,dh-9c,tambo,australia,3.0,3.0
,US Aerial Mail Service,,,626,,1.0,1.0,0.0,,1927-04-22,douglas,m-4,goshen,indiana,1.0,1.0
,Deutsche Lufthansa,,,D-729,1567,2.0,2.0,0.0,Engine failure.,1927-04-22,fokker,fg iii,floh,germany,2.0,2.0
,Air Union,,,,,3.0,1.0,0.0,,1927-05-02,spca,meteore 63,algiers,algeria,3.0,1.0
,Deutsche Lufthansa,,,D-206,591,5.0,5.0,0.0,Engine failure.,1927-07-27,junkers,f-13,amoneburg,germany,5.0,5.0
08:30,KLM Royal Dutch Airlines,,Croydon - Schiphol,,4993,11.0,1.0,0.0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.",1927-08-22,fokker,f-viii,sevenoaks,england,11.0,1.0
,Colonial Air Transport,,,,,1.0,1.0,0.0,,1927-09-03,fokker,universal,willington,connecticut,1.0,1.0
,Reynolds Airways,,Sightseeing,NC776,4840,12.0,7.0,0.0,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.,1927-09-17,fokker,f-vii,hadley,new jersey,12.0,7.0
,Deutsche Lufthansa,,,D-1177,30,4.0,2.0,0.0,Engine failure.,1927-09-22,bfw,m-18,saale,germany,4.0,2.0
10:00,Deutsche Lufthansa,,Berlin - Munich,D-585,,6.0,6.0,0.0,Broken wing strut.,1927-09-23,dornier,merkur,schleiz,germany,6.0,6.0
,Lignes Aeriennes Latecoere,,,F-AGBN,,2.0,2.0,0.0,,1927-10-06,breguet,14,thies,mauritania,2.0,2.0
,Colonial Air Transport,,,,,4.0,4.0,0.0,Went into a tailspin and crashed into a corn field,1927-10-30,fairchild,fc-2,new brunswick,new jersey,4.0,4.0
,CIDNA,,,,,1.0,1.0,0.0,,1927-11-16,farman,f-121 jabiru,strasburg,france,1.0,1.0
,Aero O-Y,,,K-SALD,798,6.0,6.0,0.0,,1927-11-16,junkers,f-13,over the gulf of finland,,6.0,6.0
,National Air Transport,,,,,1.0,1.0,0.0,,1927-11-29,douglas,m-4,corunna,indiana,1.0,1.0
,Aeropostale,,,,,2.0,2.0,0.0,,1927-12-26,breguet,14,almeria,spain,2.0,2.0
,Aeropostale,,,F-AFGS,,1.0,1.0,0.0,,1927-12-28,breguet,14,abuerio,spain,1.0,1.0
,Latecoere Airlines,,,,,4.0,4.0,0.0,,1927-12-31,latécoère,23,france,,4.0,4.0
,Colonial Western Airlines,,Minola - Albany - Buffalo,,39,3.0,3.0,0.0,Became lost in dense fog and flew into the ground in the Mohawk Valley while proceeding to Buffalo..,1928-01-08,fairchild,fc-2,near canajoharie,new york,3.0,3.0
,Aeropostale,,,,,2.0,2.0,0.0,,1928-01-16,latecoere,25,solis,uruguay,2.0,2.0
,Aeropostale,,,F-AHEQ,,2.0,2.0,0.0,,1928-01-22,breguet,14,tarragona,spain,2.0,2.0
,Aeropostale,,,,,2.0,1.0,0.0,,1928-01-22,breguet,14,france,,2.0,1.0
,Aeropostale,,,F-AEEH,,1.0,1.0,0.0,,1928-01-27,breguet,14,almeria,spain,1.0,1.0
,Boeing Air Transport,,,NC280,,2.0,1.0,0.0,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.,1928-02-26,boeing,40,marquette,nebraska,2.0,1.0
,Air Union,,,F-AEFC,,2.0,2.0,0.0,,1928-03-11,farman,f-60 goliath,off cape griz nez,france,2.0,2.0
,Boeing Air Transport,,,,,2.0,1.0,0.0,,1928-04-17,boeing,40,federal,wyoming,2.0,1.0
,Iberia Airlines,,,M-CCCC,,9.0,9.0,0.0,Crashed in fog.,1928-04-19,rohrbach,roland,minuesa,spain,9.0,9.0
,Aeropostale,,,F-AIMQ,,1.0,1.0,0.0,,1928-05-07,latecoere,26,nan,,1.0,1.0
,Ford Air Freight Inc.,,,NC1492,,2.0,2.0,0.0,,1928-05-12,ford,4,dearborn,minnesota,2.0,2.0
,Deutsche Lufthansa,,,D-583,742,5.0,3.0,0.0,Pilot error.,1928-05-26,junkers,f-13,radevormwald,germany,5.0,3.0
,Deutsche Lufthansa,,,D-74,439,5.0,5.0,0.0,,1928-06-14,aegk,,frankfurt,germany,5.0,5.0
,National Air Transport,,Chicago - Dallas,,,1.0,1.0,0.0,The mail plane flew into tornado like winds and crashed to the ground.,1928-06-22,douglas,m-4,lebo,kansas,1.0,1.0
,Aero O-Y,,,K-SALB,760,6.0,6.0,0.0,,1928-07-10,junkers,f-13,over the gulf of finland,,6.0,6.0
,Imperial Airways,,Testing,G-EBLB,9,4.0,4.0,0.0,Crashed to the ground shortly after taking off killing two men and two women.,1928-07-13,vickers,74 vulcan,purley,england,4.0,4.0
,KLM Royal Dutch Airlines,,,H-NABR,1533 (KLM-1),1.0,1.0,0.0,The plane crashed into the Waalhaven harbor.,1928-07-24,fokker,(klm) f.iii,waalhaven harbor,netherlands,1.0,1.0
,British Columbia Airways,,Victoria - Seattle,G-CATX,4-AT-26,7.0,7.0,0.0,Crashed into Puget Sound in dense fog.  Considered the first Canadian air disaster.,1928-08-25,ford,4-at-b tri motor,near port townsend,canada,7.0,7.0
,CIDNA,,,,,3.0,3.0,0.0,,1928-09-02,bleriot,spad 56,toul,france,3.0,3.0
,Qantas,,,G-AUHI,,2.0,1.0,0.0,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft crashed and caught fire.",1928-09-04,havilland,dh.50j,adelaide hills,australia,2.0,1.0
,National Parks Airways,,,NC7242,809,7.0,7.0,0.0,,1928-09-04,fokker,super universal,pocatello,idaho,7.0,7.0
,Deutsche Lufthansa,,,D-180,1531,3.0,3.0,0.0,Engine failure.,1928-09-06,fokker,fg iii,heroldbach,germany,3.0,3.0
,Aeropostale,,,,,3.0,3.0,0.0,,1928-10-04,breguet,14,gerona,spain,3.0,3.0
,National Air Transport,,,,,1.0,1.0,0.0,The mail plane crashed and burned during the night.,1928-10-18,douglas,m-4,polk,pennsylvania,1.0,1.0
,Air Union,,,F-AIMN,,2.0,1.0,0.0,,1928-10-31,bleriot,spad 56,valence,france,2.0,1.0
,Aeropostale,,,F-AISN,,2.0,1.0,0.0,,1928-11-15,latecoere,32,off gibraltar,,2.0,1.0
,Universal Airlines,,Cleveland - Chicago,,46,3.0,3.0,0.0,The mail plane crashed in a heavy snow storm.,1928-11-24,hamilton,h-47,edgerton,ohio,3.0,3.0
,National Air Transport,,,,,1.0,1.0,0.0,The mail plane crashed in a snow storm.,1928-11-25,douglas,m-4,bristolville,ohio,1.0,1.0
,Continental Air Lines,,Cleveland - Louisville,,,3.0,3.0,0.0,The mail plane crashed in a heavy snow storm,1928-11-25,travel,air 4000,edgerton,ohio,3.0,3.0
10:00,Sunbeam Air Transport Co.,,San Antonio - Amarillo - Tulsa - Denver,NC7862,4-AT-47,5.0,5.0,0.0,The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed.,1928-12-01,ford,4-at-b tri motor,spur,texas,5.0,5.0
08:00,Syndicato Condor,,,P-BACA,063,14.0,14.0,0.0,"The seaplane took off form the bay and narrowly avoided a collision with another plane and in the process veered sharply and so abruptly that one of the wings was strained beyond its elastilimits. The pilot then lost control of the aircraft and it fell, tail spinning 300 feet into the water where one of the engines exploded on impact. It sunk immediately.",1928-12-03,dornier,wal,brazil,,14.0,14.0
,,,,,,6.0,6.0,0.0,The aircraft's wingtip struck the water and crashed into Rio de Janeiro Bay.,1928-12-04,junkers,g24,rio de janeiro,brazil,6.0,6.0
,Deutsche Lufthansa,,,D-1473,3005,4.0,3.0,0.0,Weather related.,1928-12-11,junkers,g-31,letzlingen,germany,4.0,3.0
,National Air Transport,,Cleveland - Chicago,,,1.0,1.0,0.0,The mail plane crashed into an apple tree during a snow storm.,1928-12-20,douglas,m-4,huron,ohio,1.0,1.0
,Interstate Airlines,,,,,4.0,4.0,0.0,Crashed onto a roof and garage on takeoff and burst into flames. The motor may have not been warmed- up enough.,1928-12-23,fairchild,fc-2,chattanooga,tennessee,4.0,4.0
,CIDNA,,,F-AEHX,40,3.0,2.0,0.0,Crashed into high ground in fog.,1928-12-31,blériot,spad 66,reims,france,3.0,2.0
,Colonial Air Transport,,,,,1.0,1.0,0.0,,1929-01-05,fairchild,fc-2,stafford springs,connecticut,1.0,1.0
,Varney Air Lines,,,,,1.0,1.0,0.0,While attempting to make an emergency landing on the Minam river the plane hit a bolder,1929-01-18,stearman,c-38,cove,oregon,1.0,1.0
,Aeroespresso,,,I-AZDA,053,9.0,2.0,0.0,,1929-01-25,cmasa,wal,near corfu,greece,9.0,2.0
,Skyline Transportation Company,,,,,1.0,1.0,0.0,,1929-01-31,travel,air 4000,morgantown,west virginia,1.0,1.0
,Aeropostale,,,,,2.0,2.0,0.0,,1929-01-31,latecoere,26,off morocco,,2.0,2.0
,Colonial Western Airlines,,Sightseeing,NC7683,4-AT-41,15.0,14.0,0.0,The plane was making the last of a number of sightseeing flights when one of it's three engines failed. The Plane went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure.,1929-03-17,ford,5-at-b tri motor,newark,new jersey,15.0,14.0
09:18,New Standard Airlines,,Los Angeles - Phoenix - El Paso,NC7888,617,4.0,4.0,0.0,"The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred.",1929-03-30,fokker,f-viia,near beaumont,california,4.0,4.0
,Maddux Airlines / Military - U.S.Army Air Force,,San Diego - Phoenix,NC9636 / 28-037,4-AT-010,6.0,6.0,0.0,"A midair collision occurred  with a US Air Force Boeing PW-9D at 2,000 ft.  Five killed on the Tri-motor, one on the Boeing. Army pilot Lieutenant Howard Keefer, while flying above the airliner, was stunting and performed a steep banking turn downward, in an attempt to pass in front of the airliner. Instead, he misjudged the speed of the Maddux aircraft and his diving plane struck the cockpit of the Ford Tri-motor.  He was found criminally negligent.",1929-04-21,ford,5-at-b tri-motor / b-pw-9d,san diego,california,6.0,6.0
,MALERT,,,H-MABC,,2.0,2.0,0.0,,1929-05-18,fokker,f-iii,hungary,,2.0,2.0
,Aeropostale,,,F-AISX,,5.0,4.0,0.0,,1929-05-22,cams,53,algiers,,5.0,4.0
